sid	sizeFactor
hyb_ctrl_rep1	1.3844792173036427
hyb_ctrl_rep2	1.1086926934251446
hyb_ctrl_rep3	1.018302066915566
hyb_trmt_rep1	0.8955666844600102
hyb_trmt_rep2	0.8698393476066352
hyb_trmt_rep3	0.8377957108747933
parA_ctrl_rep1	1.2273928410041353
parA_ctrl_rep2	1.0156793662368198
parA_ctrl_rep3	1.1141572071317645
parA_trmt_rep1	0.9336609784776514
parA_trmt_rep2	0.9026881171660095
parA_trmt_rep3	0.7971552459149085
parA_trmt_rep4	0.9777508783194157
parB_ctrl_rep1	1.0847018052437787
parB_ctrl_rep2	1.1318376184891878
parB_ctrl_rep3	1.0741860596295694
parB_trmt_rep1	0.8892761130783801
parB_trmt_rep2	0.955735726049212
parB_trmt_rep3	0.938602859712074
