gid	B73	Mo17	ref	alt	cft	prop.p	prop.h	reg
Zm00001d002157	1.5617875467467317	0.6816622477753874	25	13	2	0.6961544450694563	0.6578947368421053	cis only
Zm00001d002382	15.31037142747734	11.908427715391934	73	80	2	0.5624925385985782	0.477124183006536	trans only
Zm00001d003680	43.15997098682502	30.17341630003461	80	56	3	0.5885446259013691	0.5882352941176471	cis only
Zm00001d005573	36.30469726220221	41.333881000123725	249	209	3	0.4676115672743976	0.5436681222707423	trans B73
Zm00001d006910	70.36959829324054	75.60450057224278	507	640	1	0.48206907143223315	0.4420226678291194	cis Mo17
Zm00001d007124	22.306179937946595	15.793485930891908	43	14	3	0.5854691748409976	0.7543859649122807	cis B73
